Time,Event,Speaker(s),Location,Other Details
2:25pm - 3:00pm,Unlocking Enterprise-scale ROI from Agentic AI Presented by Skan.ai,"Speaker | Stephan TeerlingHead of CEO Office - Allianz SE | Naeill LeighSenior Vice President, Strategy and Transformation – Workplace Solutions - Lincoln Financial",Mandalay Bay Ballroom LInnovation in Action TrackShow more,Session Sponsor | Skan
2:30pm - 2:40pm,MAS-terplan: How Multi-Agent AI Systems Are Rewiring Underwriting Presented by Encora,"Speaker | Adrian BlidarusGlobal Head of Insurance, President Encora Europe - Encora",,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor | ENCORA | AI Recommended
2:35pm - 3:10pm,"When Insurance Meets Wealth: The Convergence of Distribution in Life, Annuities, and Holistic Financial Advice","Speaker | Cody BarboCEO & Founder - Trust & Will | Manish BhattPartner, EVP - Simplicity Group",,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & BenefitsShow more"
2:40pm - 3:15pm,Personalization at Scale: Earning Trust Without Losing Efficiency,,,"Distribution, Sales & Marketing Stage (Expo Floor)Sales & Performance Marketing Track"
2:45pm - 2:55pm,Demo: Property Guardian,Speaker | Pat BlandfordCEO & Founder - Property Guardian | Property Guardian,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
2:55pm - 3:10pm,Quantifying the Cost of Cyber Risk,Speaker,Mandalay Bay Ballroom JCyber Insurance Summit,Scott StranskyMD - Head of the Cyber Risk Intelligence Center - Marsh McLennan
3:00pm - 3:10pm,Session Presented by Decisions,Decisions LLC,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
3:00pm - 3:20pm,What 1.6 Million Fires Can Tell Us About Non-Catastrophe Fire Risk,Speaker,"Mandalay Bay Ballroom IProperty, Motor & Travel Track",Jessica LeongCEO - Octagram Analytics
3:05pm - 3:40pm,Insurance Innovations for the Clean Energy Transition: Unlocking Capital through Risk Solutions,Speaker | Amy AntczakCOO - GreenieRE,Mandalay Bay Ballroom LInnovation in Action TrackShow more,Alisa ValderramaCEO & Co-Founder - FutureProof
3:05pm - 3:40pm,"The Underwriter of the Future: How Data, AI, and Automation Are Changing the Role",Speaker | Jaclyn JohnsonDirector of Underwriting - Thimble | Reid StanwayHead of Digital Partnerships - Ki Insurance,Mandalay Bay Ballroom KUnderwriting TrackShow more,
3:10pm - 3:45pm,Quantum Computing in Insurance: Do We Need to Invest Our Energies Now or Wait to Be Followers?,Speaker | Renu JosephCEO & Founder - Luminant Analytics | Hayk TepanyanCEO & Founder - BlueQubit,Mandalay Bay Ballroom JCyber Insurance SummitShow more,
3:15pm - 3:25pm,Demo: Arivonix Corporation,Speaker | Mike SzeSenior Director - Verisk | Jayend KrishnamoorthyCEO - Arivonix | Arivonix Corporation,,Innovation Alley (Expo Floor)Innovation & Solutions Stage | Session Sponsor
3:15pm - 4:30pm,Expo Floor Happy Hour,Expo FloorEvent Information,,
3:15pm - 3:35pm,Principles and Practical Uses for Clinical Epigenetic Testing in Underwriting and Wellness Programming,"Speaker | Robert PhilibertManaging Director, Behavioral Diagnostics & Professor - University of Iowa",,"ITC Life, Health & Benefits Stage (Expo Floor)ITC Life, Health & Benefits | Andy KramerVP - Head of Underwriting Risk and Innovation - MFIN"
3:15pm - 4:30pm,Vitesse Wine Tasting,,,Booth 1219 (Expo Floor)Culinary Experiences | Session Sponsor | Vitesse
3:20pm - 3:55pm,Messaging Through Mayhem: How Insurance Leaders Navigate Communication in Uncertain Times,Speaker | Lisa FlanaryCMO - Security Benefit | Kate DillionManaging Director - Prosek Partners,,"Distribution, Sales & Marketing Stage (Expo Floor)Sales & Performance Marketing Track"
3:25pm - 4:00pm,Future-Proofing Commercial Property Insurance: From Climate Risk to Smart Buildings,,"Mandalay Bay Ballroom IProperty, Motor & Travel Track",
3:30pm - 3:40pm,Demo: Findevor.ai,Speaker | Alex ValdesCEO & Co-Founder - Findevor,,Innovation Alley (Expo Floor)Innovation & Solutions Stage
3:45pm - 4:05pm,50% Automated and Rising: Inside iA’s Business-Led Underwriting Transformation,Speaker | Isabelle HarnoisActuary and Senior Advisor - IA Financial Group,Mandalay Bay Ballroom KUnderwriting Track,
3:45pm - 4:20pm,Beyond the Payout: Parametric Insurance as a Strategic Risk Management Tool,Speaker,Mandalay Bay Ballroom LInnovation in Action TrackShow more,Alex KaplanEVP - Alternative Risk - AmWINS Group | Cole MayerHead of Parametric - Aon
3:45pm - 3:55pm,Demo: Sherpa+,Speaker | Federico SpagnoliFounder and CEO - Gangkhar,,Innovation Alley (Expo Floor)Innovation & Solutions Stage
3:45pm - 4:05pm,Insurance 4.0: Embracing Technology for Resilience and Growth,,Mandalay Bay Ballroom JCyber Insurance Summit,AI Recommended
9:00pm - 11:00pm,ITC Vegas Official Closing Party featuring the Goo Goo Dolls!,,Oceanside Ballroom CDEvent Information,
